1,0,223413,335686,502773,624874,745464,
2,0,524698,649824,799900,913968,1091210,
3,0,154990,274068,390499,537971,653841,
4,0,210560,408267,599547,800062,1061810,
5,0,349294,503528,721270,830779,928457,
6,0,221694,323967,486140,675892,801210,
7,0,119078,220389,380671,537309,663763,
8,0,169355,324345,443408,645996,719483,
9,0,264697,467753,677573,945958,1075540,
10,0,183333,342870,479159,594356,683733,1500000
11,0,183777,314053,503606,616520,720324,820342
12,0,155119,288274,385738,608121,706271,876490
13,0,164451,250199,396587,491375,611821,810862
14,0,243803,418372,639470,825393,970371,1162810
15,0,160262,296263,494017,696916,856443,1093890
16,0,157631,266342,462901,581431,705082,909533
17,0,270667,458334,721371,1781760,1970950,2135430
18,0,252162,458271,703506,912797,1075290,1271290
19,0,170831,301330,484939,778659,1067140,1641360
